Id,ActionName,EntityName,EntityId,Description,UserId,IpAddress,UserAgent,TokenExpiresAt,Metadata,Timestamp,ProcessingTimeMs,UserFullName
14596,UserLoggedIn,StudentImport,,User authentication was completed.,4.0,13.90.198.132,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,2023-06-01 02:10:31,"{""statusCode"": 401, ""ip"": ""216.209.91.175"", ""browser"": ""Firefox""}",2023-06-01 01:10:31,407.0,Omar Hassan
7586,BulkImportStudents,Auth,11.0,The system processed the request successfully.,1.0,109.12.94.198,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""221.73.103.96"", ""browser"": ""Firefox""}",2023-08-09 02:41:41,,System Administrator
2637,SquadronCreated,StudentImport,,Data import finished without errors.,4.0,130.106.153.50,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,"{""statusCode"": 500, ""ip"": ""47.162.16.88"", ""browser"": ""Safari""}",2024-10-14 02:06:40,245.0,Omar Hassan
421,ProfileViewed,Enrollment,1.0,,1.0,236.169.193.247,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""135.49.63.23"", ""browser"": ""Chrome""}",2022-10-07 16:21:59,452.0,System Administrator
1682,ProfileViewed,Squadron,,Data import finished without errors.,3.0,62.44.240.39,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""238.36.92.70"", ""browser"": ""Safari""}",2023-07-26 09:31:47,379.0,Sara Mohamed
12119,UserLoggedIn,Enrollment,9.0,Annual academic year data was synchronized.,,152.107.79.212,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,2023-07-14 03:30:18,"{""statusCode"": 200, ""ip"": ""114.78.150.244"", ""browser"": ""Edge""}",2023-07-13 21:30:18,275.0,Guest user
1550,LoginFailed,Auth,12.0,Annual academic year data was synchronized.,5.0,83.246.46.15,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 500, ""ip"": ""39.36.216.68"", ""browser"": ""Firefox""}",2023-08-10 19:33:17,360.0,Nour Khalil
9455,ProfileViewed,StudentImport,,Record was archived by the administrator.,8.0,117.213.26.201,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 401, ""ip"": ""80.138.20.95"", ""browser"": ""Edge""}",2024-06-17 07:34:46,40.0,Kareem Fathy
1928,SquadronUpdated,StudentImport,19.0,New student record was added to the system.,7.0,232.241.229.219,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 400, ""ip"": ""112.18.243.7"", ""browser"": ""Chrome""}",2022-10-19 22:41:44,435.0,Mona Samir
10136,ProfileViewed,StudentImport,32.0,System backup was completed successfully.,4.0,125.59.73.184,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""250.185.179.31"", ""browser"": ""Edge""}",2024-11-02 19:53:50,236.0,Omar Hassan
8092,ProfileViewed,,35.0,System backup was completed successfully.,4.0,231.110.121.215,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""197.114.32.128"", ""browser"": ""Safari""}",2025-04-11 18:15:20,180.0,Omar Hassan
10139,SquadronUpdated,StudentImport,4.0,Bulk operation completed for selected records.,2.0,189.141.246.234,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""62.41.119.144"", ""browser"": ""Edge""}",2024-03-17 05:54:53,328.0,Ahmed Ali
9416,SquadronCreated,StudentImport,,Password reset request was initiated.,2.0,115.154.225.125,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 400, ""ip"": ""225.62.137.149"", ""browser"": ""Firefox""}",2025-01-04 06:43:23,99.0,Ahmed Ali
7819,SquadronUpdated,Enrollment,,New student record was added to the system.,6.0,83.6.18.169,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 401, ""ip"": ""24.180.103.124"", ""browser"": ""Chrome""}",2024-07-14 02:50:07,137.0,Youssef Adel
1757,ProfileViewed,Auth,,Annual academic year data was synchronized.,,92.56.55.117,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 401, ""ip"": ""241.82.11.177"", ""browser"": ""Edge""}",2024-05-21 09:26:38,474.0,Guest user
1261,UserLoggedIn,StudentImport,17.0,Profile information was reviewed.,7.0,47.97.49.201,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,2023-09-02 10:04:16,"{""statusCode"": 401, ""ip"": ""7.215.85.219"", ""browser"": ""Chrome""}",2023-09-01 10:04:16,378.0,Mona Samir
14889,LoginFailed,Squadron,,Record was archived by the administrator.,4.0,72.249.134.246,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 500, ""ip"": ""239.91.247.111"", ""browser"": ""Chrome""}",2025-06-17 02:33:47,,Omar Hassan
166,SquadronCreated,Enrollment,19.0,Profile information was reviewed.,,24.213.194.123,curl/7.68.0,,"{""statusCode"": 200, ""ip"": ""27.179.165.86"", ""browser"": ""Edge""}",2024-06-22 01:46:29,314.0,Guest user
8889,ProfileViewed,Squadron,39.0,Enrollment confirmed for the selected course.,1.0,183.169.214.235,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""88.58.164.95"", ""browser"": ""Safari""}",2023-02-07 04:48:19,433.0,System Administrator
1212,ProfileViewed,Auth,36.0,Annual academic year data was synchronized.,,190.124.72.105,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,,2024-03-31 09:45:55,275.0,Guest user
8604,SquadronUpdated,,,The system processed the request successfully.,2.0,246.170.39.139,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,CORRUPTED_JSON,2023-10-04 03:27:10,393.0,Ahmed Ali
10030,ProfileViewed,,45.0,New student record was added to the system.,,86.196.125.239,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 400, ""ip"": ""40.249.15.6"", ""browser"": ""Chrome""}",2023-02-28 06:05:09,437.0,Guest user
12168,AuthCreated,StudentImport,15.0,Course registration period has been updated.,1.0,88.113.159.166,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 401, ""ip"": ""200.199.91.13"", ""browser"": ""Firefox""}",2024-11-08 11:14:43,580.0,System Administrator
4764,LoginFailed,,,System backup was completed successfully.,6.0,201.225.241.243,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""216.247.54.143"", ""browser"": ""Safari""}",2022-03-10 21:53:05,327.0,Youssef Adel
11065,BulkImportStudents,Enrollment,10.0,Password reset request was initiated.,3.0,145.60.144.230,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 401, ""ip"": ""233.52.104.29"", ""browser"": ""Chrome""}",2024-09-03 10:25:05,159.0,Sara Mohamed
1409,ProfileViewed,,11.0,,8.0,222.64.226.223,curl/7.68.0,,"{""statusCode"": 500, ""ip"": ""50.137.207.181"", ""browser"": ""Safari""}",2023-07-17 13:14:40,195.0,Kareem Fathy
724,ProfileViewed,Auth,,Annual academic year data was synchronized.,,178.215.138.83,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 500, ""ip"": ""129.42.213.148"", ""browser"": ""Safari""}",2024-08-08 14:14:39,462.0,Guest user
13112,BulkImportStudents,StudentImport,,,,63.142.77.126,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 200, ""ip"": ""44.177.45.194"", ""browser"": ""Safari""}",2025-02-02 03:29:07,325.0,Guest user
135,LoginFailed,Squadron,10.0,System backup was completed successfully.,7.0,91.113.65.72,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,CORRUPTED_JSON,2025-05-06 13:56:00,390.0,Mona Samir
5059,UserLoggedIn,StudentImport,31.0,Course registration period has been updated.,6.0,36.7.98.55,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2025-06-11 23:15:04,"{""statusCode"": 500, ""ip"": ""178.6.59.35"", ""browser"": ""Edge""}",2025-06-10 23:15:04,,Youssef Adel
13932,UserLoggedIn,,43.0,Record was archived by the administrator.,7.0,150.38.61.99,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,2024-03-02 02:38:24,"{""statusCode"": 400, ""ip"": ""92.24.68.93"", ""browser"": ""Edge""}",2024-03-01 20:38:24,,Mona Samir
2872,UserLoggedIn,Auth,37.0,New student record was added to the system.,5.0,1.237.2.148,curl/7.68.0,2025-02-20 23:09:59,"{""statusCode"": 200, ""ip"": ""182.89.5.23"", ""browser"": ""Edge""}",2025-02-19 23:09:59,175.0,Nour Khalil
7357,LoginFailed,Squadron,49.0,Password reset request was initiated.,5.0,99.223.177.122,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 500, ""ip"": ""91.104.240.42"", ""browser"": ""Edge""}",2023-07-23 14:33:28,46.0,Nour Khalil
8376,ProfileViewed,Auth,38.0,Password reset request was initiated.,2.0,13.50.48.219,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""132.79.203.54"", ""browser"": ""Chrome""}",2024-07-12 11:05:28,13.0,Ahmed Ali
13816,UserLoggedIn,,19.0,Squadron assignment updated by admin.,,6.212.176.173,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,2024-08-31 02:27:37,"{""statusCode"": 200, ""ip"": ""216.250.127.33"", ""browser"": ""Firefox""}",2024-08-30 20:27:37,609.0,Guest user
10792,UserLoggedIn,,27.0,Password reset request was initiated.,8.0,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,2025-05-20 21:56:11,"{""statusCode"": 200, ""ip"": ""96.149.28.209"", ""browser"": ""Firefox""}",2025-05-19 21:56:11,385.0,Kareem Fathy
703,LoginFailed,Squadron,7.0,User session expired and was terminated.,8.0,72.196.9.15,curl/7.68.0,,"{""statusCode"": 200, ""ip"": ""142.207.118.135"", ""browser"": ""Chrome""}",2024-03-08 23:35:55,121.0,Kareem Fathy
6661,UserLoggedIn,Squadron,,Annual academic year data was synchronized.,7.0,196.212.15.214,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,2024-05-29 23:02:59,"{""statusCode"": 500, ""ip"": ""152.64.234.198"", ""browser"": ""Firefox""}",2024-05-28 23:02:59,390.0,Mona Samir
100,SquadronUpdated,StudentImport,20.0,Bulk operation completed for selected records.,4.0,101.82.70.128,curl/7.68.0,,"{""statusCode"": 500, ""ip"": ""170.234.249.54"", ""browser"": ""Firefox""}",2024-12-16 21:51:36,429.0,Omar Hassan
1370,ProfileViewed,StudentImport,45.0,,1.0,88.178.235.92,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""10.64.244.186"", ""browser"": ""Edge""}",2025-02-05 20:09:20,187.0,System Administrator
10636,UserLoggedIn,Squadron,36.0,Access token generated for session.,,224.90.197.128,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,2024-10-19 11:53:29,CORRUPTED_JSON,2024-10-19 10:53:29,,Guest user
2787,UserLoggedIn,Enrollment,3.0,The system processed the request successfully.,3.0,252.15.231.93,curl/7.68.0,2024-05-30 17:27:09,CORRUPTED_JSON,2024-05-30 15:27:09,413.0,Sara Mohamed
14983,UserLoggedIn,Auth,,Profile information was reviewed.,7.0,213.129.250.135,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,2024-10-29 19:42:16,"{""statusCode"": 500, ""ip"": ""156.85.21.160"", ""browser"": ""Chrome""}",2024-10-29 17:42:16,124.0,Mona Samir
13491,BulkImportStudents,Enrollment,10.0,Enrollment confirmed for the selected course.,8.0,21.199.12.228,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 401, ""ip"": ""47.210.205.56"", ""browser"": ""Safari""}",2022-03-09 14:30:21,201.0,Kareem Fathy
14223,UserLoggedIn,Squadron,7.0,,5.0,152.96.83.185,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,2024-11-05 08:27:05,"{""statusCode"": 200, ""ip"": ""43.135.33.203"", ""browser"": ""Firefox""}",2024-11-05 02:27:05,476.0,Nour Khalil
8147,BulkImportStudents,Enrollment,,Data import finished without errors.,2.0,116.250.29.82,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""48.95.64.128"", ""browser"": ""Safari""}",2024-01-25 00:35:50,191.0,Ahmed Ali
708,UserLoggedIn,Squadron,3.0,Annual academic year data was synchronized.,1.0,15.158.70.246,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2024-11-15 19:39:25,"{""statusCode"": 200, ""ip"": ""117.146.40.94"", ""browser"": ""Chrome""}",2024-11-14 19:39:25,264.0,System Administrator
5642,UserLoggedIn,Enrollment,,Bulk operation completed for selected records.,5.0,69.58.251.17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,2025-01-22 23:06:07,"{""statusCode"": 200, ""ip"": ""38.13.197.27"", ""browser"": ""Edge""}",2025-01-21 23:06:07,,Nour Khalil
5179,UserLoggedIn,,49.0,Bulk operation completed for selected records.,3.0,86.235.61.158,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,2024-09-19 04:58:25,"{""statusCode"": 200, ""ip"": ""126.233.127.169"", ""browser"": ""Chrome""}",2024-09-18 22:58:25,67.0,Sara Mohamed
5643,BulkImportStudents,Squadron,34.0,Access token generated for session.,5.0,150.192.236.190,curl/7.68.0,,"{""statusCode"": 200, ""ip"": ""209.117.199.162"", ""browser"": ""Firefox""}",2023-07-11 05:11:04,536.0,Nour Khalil
13866,SquadronCreated,Enrollment,41.0,Access token generated for session.,6.0,106.248.41.166,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""203.99.210.91"", ""browser"": ""Safari""}",2024-05-02 08:47:06,231.0,Youssef Adel
8101,LoginFailed,Auth,,Access token generated for session.,6.0,98.136.45.80,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 200, ""ip"": ""169.16.69.186"", ""browser"": ""Firefox""}",2023-07-11 00:10:10,402.0,Youssef Adel
6727,BulkImportStudents,Squadron,35.0,System backup was completed successfully.,3.0,118.240.68.118,curl/7.68.0,,"{""statusCode"": 200, ""ip"": ""145.185.22.172"", ""browser"": ""Safari""}",2023-07-17 02:34:59,152.0,Sara Mohamed
11885,ProfileViewed,,10.0,Squadron assignment updated by admin.,4.0,204.97.218.233,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 401, ""ip"": ""218.38.214.208"", ""browser"": ""Firefox""}",2022-05-24 09:05:07,182.0,Omar Hassan
14683,SquadronUpdated,Squadron,5.0,Annual academic year data was synchronized.,1.0,13.100.47.178,curl/7.68.0,,"{""statusCode"": 401, ""ip"": ""47.9.188.244"", ""browser"": ""Chrome""}",2024-02-17 14:34:07,428.0,System Administrator
3774,ProfileViewed,,14.0,The system processed the request successfully.,,58.223.148.220,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,"{""statusCode"": 401, ""ip"": ""229.176.217.211"", ""browser"": ""Edge""}",2025-01-15 09:22:44,223.0,Guest user
3289,AuthCreated,Enrollment,,,2.0,79.12.41.57,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 500, ""ip"": ""234.40.221.189"", ""browser"": ""Edge""}",2025-04-26 08:02:29,,Ahmed Ali
4002,LoginFailed,Enrollment,32.0,Password reset request was initiated.,4.0,58.202.119.245,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,,2025-02-03 04:54:24,402.0,Omar Hassan
1473,UserLoggedIn,,46.0,System backup was completed successfully.,1.0,209.144.20.188,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2024-09-21 02:06:18,"{""statusCode"": 200, ""ip"": ""141.161.93.76"", ""browser"": ""Firefox""}",2024-09-20 20:06:18,195.0,System Administrator
332,SquadronUpdated,StudentImport,42.0,User authentication was completed.,4.0,107.16.186.215,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,CORRUPTED_JSON,2025-04-07 15:38:28,,Omar Hassan
3197,SquadronUpdated,StudentImport,18.0,Profile information was reviewed.,,68.195.174.113,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,"{""statusCode"": 200, ""ip"": ""5.4.30.61"", ""browser"": ""Safari""}",2024-12-16 17:19:43,344.0,Guest user
12736,BulkImportStudents,,10.0,Annual academic year data was synchronized.,,110.194.26.37,curl/7.68.0,,"{""statusCode"": 401, ""ip"": ""202.112.240.188"", ""browser"": ""Chrome""}",2025-03-29 21:49:22,347.0,Guest user
